Temperatura,Personas,Electrodomesticos,Consumo_kWh
21.72768193831251,4.0,,59.77875265872877
25.37154033176746,4.0,17.0,57.66201762294328
23.733235129792167,2.0,14.0,56.106589521164935
15.498269145229933,4.0,15.0,53.6893394327495
29.59255939437381,4.0,5.0,46.77240764848993
26.94911852767508,1.0,9.0,41.28850784150591
23.388404485681637,2.0,17.0,56.21748012410668
19.75705322852463,3.0,15.0,52.97354915363973
26.809831217619852,4.0,5.0,47.34231414830405
17.862106803968388,1.0,11.0,35.15613502986848
24.67328532667019,2.0,20.0,65.16402295523733
28.141930943944306,1.0,5.0,36.96980137582046
24.5979616671141,2.0,5.0,35.21150398418574
21.68322590488073,5.0,,60.10077758412271
21.826033213305205,5.0,17.0,62.51410484013747
22.227827735480826,1.0,19.0,58.329846043966214
29.240125658362135,3.0,16.0,63.63799526102269
31.467527665350254,4.0,13.0,60.98566183883194
24.015161524555257,5.0,12.0,61.3021276807574
22.96213043623379,3.0,19.0,66.1957523236707
20.481534751168407,2.0,,37.470304513794666
17.70114303425352,5.0,12.0,52.224183367781734
20.663265640096117,4.0,14.0,47.124356686761274
11.654260356681377,2.0,14.0,39.59892682134938
18.44934381977896,2.0,20.0,
25.107751489505485,1.0,16.0,50.00718178989441
28.1074312924219,4.0,17.0,67.47797604542332
13.41773379634669,3.0,13.0,45.748673158648295
20.02074760757614,2.0,6.0,34.03047651911963
28.368878872020534,2.0,7.0,35.558870928316274
21.951659386976267,1.0,8.0,38.98141350149681
21.309794361482847,3.0,7.0,37.60293919022905
24.220821126250883,3.0,13.0,50.43118945535229
11.764662803310873,3.0,,169.65118394343102
20.86968677991876,5.0,,61.320312463570644
30.139767790299715,5.0,19.0,70.62237743048239
18.034609815659376,5.0,16.0,62.14724536837477
,5.0,12.0,67.90254876933926
22.302378447345017,3.0,15.0,50.658783664532464
23.788053280703632,3.0,14.0,54.684662495775065
22.332836638072262,4.0,6.0,44.72172038933736
23.81263704385685,3.0,15.0,53.980791315493136
20.494439085588237,1.0,16.0,47.687991396423
11.736086546165499,3.0,10.0,39.3797655190213
30.389054108132953,5.0,14.0,62.12516021436752
19.927682943684413,4.0,18.0,64.42304672442928
26.802470908633154,3.0,7.0,43.92703502117336
23.714738961385407,3.0,12.0,45.14734455515535
28.2855577955702,2.0,17.0,62.86292593138013
16.596990286709115,2.0,10.0,133.96049235488934
15.252380928015654,5.0,15.0,52.16460693227962
20.14037451929447,1.0,15.0,46.577429132875245
22.510315858706374,,6.0,37.492993022293625
19.59095331993405,1.0,10.0,35.15722040401024
13.310237328889688,5.0,7.0,36.15908499276006
29.96973474281865,4.0,13.0,62.265764971471725
20.493588090527386,,8.0,35.81553265302932
31.73220093758969,4.0,8.0,46.10565892594949
,4.0,13.0,49.7409669593417
29.56450889918598,3.0,15.0,63.416326325313186
17.828538767850475,1.0,8.0,29.43355566529252
19.970349065227726,1.0,12.0,44.37528591275352
24.12772248587256,5.0,13.0,57.41878596760229
21.704814658373966,3.0,10.0,43.37639895708943
18.83546460365791,,7.0,44.15258432799537
27.337262084844433,4.0,8.0,50.33734693666643
20.943302794373636,3.0,17.0,56.95812512639035
20.51152635962554,3.0,9.0,44.17764583814211
16.700327908277586,,16.0,58.935872982249194
24.84455010607694,5.0,14.0,59.40852802490948
22.650277178579323,1.0,13.0,44.213699480360894
16.831283558674528,4.0,18.0,56.19764357599422
17.270357599886953,2.0,11.0,35.65648849076733
14.735816559495778,2.0,20.0,52.11144053610981
26.674684278473816,3.0,19.0,69.7548115422166
,1.0,5.0,44.08804780472259
13.304093074602559,,11.0,39.33006284026056
16.329272686163534,3.0,12.0,
33.14151834565537,1.0,13.0,52.61605732996634
17.591624482292865,4.0,5.0,35.18490357298528
26.083388797117866,2.0,11.0,49.62245544029515
16.949549095230225,3.0,9.0,37.8345418593431
18.146206987354407,4.0,8.0,
,2.0,10.0,
24.902388623995428,5.0,15.0,62.434286618756666
26.777328472664873,1.0,19.0,59.95585683423168
24.399504340171895,4.0,7.0,45.14330057160423
26.64481788296912,1.0,7.0,38.88514686111432
21.46027790353252,,10.0,42.590277075852924
15.53426130569464,3.0,19.0,
32.0291083001205,1.0,10.0,44.058411764402734
22.409289607824313,1.0,6.0,31.81571813327067
17.882275317970485,3.0,12.0,46.70281686148502
22.167823237773657,4.0,14.0,54.54615390895453
19.806711712181038,3.0,13.0,45.07510796522811
21.843032357636385,5.0,19.0,65.2297375357473
,5.0,11.0,54.20736185929887
23.998697872295438,2.0,15.0,54.388218339574834
27.659400283540975,4.0,10.0,54.28595533546598
12.569986428224455,3.0,18.0,52.17367456818176
26.26070600194895,5.0,14.0,62.31473604880036
,1.0,12.0,155.23417858974568
20.553802193597313,4.0,12.0,53.16658460717903
33.05577134627153,2.0,19.0,64.76888449403464
19.161952134538105,4.0,16.0,56.74766029338288
25.387261626585868,2.0,18.0,60.25069655648909
19.436650279984804,1.0,9.0,
18.774837482703685,5.0,14.0,57.370537366333856
22.8329652215775,2.0,13.0,54.03716713388757
24.81112148789962,1.0,13.0,42.12412634420238
30.321636239041784,,8.0,56.68378134900505
23.056636856045557,3.0,7.0,36.86081046672618
28.63810097488549,5.0,16.0,66.23080438599388
21.88116671134944,5.0,18.0,67.9255844722701
21.75163412916693,1.0,10.0,42.22104315446778
15.272939385898868,5.0,17.0,53.58272873682222
18.165642716995862,3.0,6.0,36.64089268698497
23.497991577450367,1.0,5.0,33.17375727694449
30.990218642969023,4.0,9.0,59.602119369418475
17.478368257777497,1.0,,29.19418865580893
28.01716101475564,2.0,20.0,60.75027912842675
17.36475414536185,3.0,14.0,46.75449575141602
28.603549331450623,3.0,12.0,57.357405817620084
24.92010552369129,3.0,10.0,44.618589642370914
21.513367242547734,3.0,5.0,41.98276685477305
30.917456056906396,2.0,5.0,42.50168717526166
16.28941316651563,2.0,19.0,53.11492950342755
17.996410041482974,4.0,17.0,55.13589498385008
28.950804618617127,2.0,19.0,66.23925656029257
25.178862475734444,2.0,10.0,48.52445992251412
22.077380077296706,4.0,17.0,60.79013855064174
23.899306091893468,4.0,17.0,64.24635564804196
26.761090294930653,1.0,9.0,40.99983397493975
26.346569431150993,5.0,6.0,50.60132189473156
22.680662240251102,3.0,15.0,51.95068834454041
19.959224936870612,4.0,,43.361511141096074
14.644044612597547,4.0,13.0,44.387250926518774
30.577348758891873,2.0,18.0,63.48798978255669
27.70805880979698,5.0,15.0,67.8898118453819
14.899384409015207,5.0,,46.341441415843235
15.665938147867749,2.0,17.0,47.56683450837721
14.385836384774546,1.0,14.0,37.657826478905676
16.718290487623094,5.0,17.0,59.286189584004255
20.907099844082936,3.0,7.0,43.89963089390632
19.702726097312166,1.0,16.0,46.48744986006919
19.721455712559255,1.0,7.0,32.37191609331217
24.028759321350098,5.0,6.0,49.51973687183507
14.251601018691465,5.0,,
13.6944408417258,4.0,6.0,36.44575643451978
15.9944753629969,,5.0,28.68280526534705
14.549437558434981,2.0,7.0,29.39472239113508
18.020286261936263,2.0,9.0,
30.127197652905497,3.0,18.0,65.98371825013722
18.150468970074083,3.0,18.0,53.40529476980797
21.799581089583384,5.0,12.0,51.492013856624766
24.332594205238014,1.0,18.0,52.46101262318716
20.718279656519176,,5.0,43.899409598874946
23.12036351713935,2.0,14.0,49.25547081222547
21.425599111535494,,16.0,55.64843988636989
17.704437126898263,5.0,15.0,56.63057297253894
14.242593628688512,5.0,5.0,34.87028183218649
17.447952195225138,1.0,9.0,35.01253687042671
20.326957170094865,3.0,20.0,60.72959705807832
31.09238595896769,4.0,12.0,61.40146889668367
24.96297638401386,4.0,16.0,58.38172637966975
27.60830929171629,5.0,,62.30557231446589
25.145634278821525,2.0,14.0,49.25236543043887
19.64299303942627,1.0,20.0,54.39086853412556
16.56579597219546,4.0,9.0,39.284737026323256
21.490125439008096,2.0,12.0,40.12348175541717
21.574382007655927,3.0,19.0,62.67675695545451
24.996978791259043,2.0,7.0,39.50555373744272
25.476253014793425,2.0,11.0,51.714487296910676
22.49381241209231,2.0,20.0,60.86244307095745
10.536439637687632,1.0,19.0,43.438286980661914
23.535369756549674,2.0,10.0,43.32158232996049
16.225065110531027,5.0,7.0,39.64457728128191
12.474015520834824,5.0,6.0,37.23443115546359
25.7226956101803,3.0,17.0,56.821444466850984
29.010355585612217,4.0,17.0,74.27381347636353
18.800785247329422,1.0,20.0,53.39623391032298
19.93498182891326,5.0,9.0,43.2433784001914
19.169806913659755,4.0,20.0,59.7555016217256
24.08021513240347,5.0,10.0,58.410537370313556
20.370679078017304,1.0,,52.072466347907486
12.968291598906431,3.0,12.0,
21.979155548070164,5.0,6.0,46.2849371268667
25.21107131762962,,20.0,62.45239393615016
26.229239705304813,2.0,13.0,47.37131335045631
22.141912246773,,17.0,51.843195463941015
25.843876608865227,3.0,6.0,40.81700319626425
20.714423360313113,1.0,11.0,
23.514991864512304,3.0,17.0,
20.0777119427465,2.0,8.0,30.47808630890119
16.4633507575052,5.0,10.0,47.14219523263955
31.095642613484443,3.0,5.0,41.385822182915554
26.410149362566862,2.0,14.0,
20.686539720866637,4.0,,62.007379451934426
21.134749618115656,3.0,12.0,47.44552079523457
21.691886022608255,1.0,15.0,48.424275221596595
13.034939159948715,4.0,19.0,54.85581937528014
20.37083337460683,2.0,,60.40088011422127
20.928851031863296,4.0,16.0,58.17076335146298
18.65477643204491,4.0,18.0,55.91289826945259
24.53872035544393,3.0,9.0,41.04160255046295
19.400900611891117,4.0,5.0,34.545005716554016
12.161250126670748,4.0,10.0,35.11109620000667
25.160455472540132,3.0,5.0,37.46996802637465
26.783913149891283,4.0,6.0,42.47425508735208
24.005123049240694,4.0,11.0,59.21361816355743
,4.0,7.0,44.81014348145838
17.998549285324863,3.0,,56.00981115435116
25.793255385338583,1.0,13.0,42.78599463943927
15.7902084321265,2.0,11.0,44.3185232426884
22.282908226028706,1.0,9.0,40.79072567075158
26.05267291902865,4.0,11.0,50.625862045060806
25.331859363407272,2.0,13.0,51.47875846479524
27.48884091899657,2.0,11.0,47.12465984884669
18.96868128275914,1.0,5.0,
14.426508383798826,2.0,7.0,29.685241124847998
17.759346851452293,2.0,13.0,44.60393256572502
20.958638636479773,2.0,16.0,54.10924456216179
26.185958259237086,1.0,19.0,58.70989719893976
17.596082820067966,3.0,17.0,49.85810719313244
15.758663620654445,1.0,10.0,33.08531956701986
28.298158079002576,4.0,15.0,66.00805095389215
22.41894022669904,3.0,19.0,63.05393441269872
13.849558131789923,4.0,11.0,
20.474645708335395,1.0,16.0,43.73749412244289
26.462366310709324,4.0,17.0,65.12723896782906
22.221600367906976,1.0,8.0,31.766865915676973
19.00878524412434,4.0,6.0,42.66072182747419
18.8533224504572,4.0,8.0,37.65689719326093
16.53502868644609,5.0,6.0,38.88509029681656
21.854339962866533,3.0,14.0,51.69263940712851
20.91282230481244,1.0,12.0,39.031095819451295
25.803821787309737,2.0,13.0,54.11675193228298
23.05011778238305,4.0,14.0,64.11592883798048
22.997350808246857,1.0,9.0,33.72935148020982
,,12.0,43.343140983778596
23.89755877964509,5.0,6.0,
22.834693245500667,4.0,13.0,52.0690701641667
23.625825057198337,5.0,6.0,
24.981221209660195,,13.0,58.025147861426625
25.745151145469748,3.0,,51.66753587952374
24.897460241580596,1.0,12.0,46.14200422678396
17.784433348888115,4.0,9.0,40.63725894585762
17.608124793684745,4.0,5.0,37.39453126733302
21.06077352822439,4.0,8.0,40.29359608566875
23.486921312492402,2.0,12.0,49.229731392206375
26.129921481248083,3.0,13.0,54.12147180002271
24.67578929328235,2.0,18.0,62.822689207852996
26.330730312063288,2.0,15.0,56.62606792544246
16.607934005587406,1.0,9.0,30.193084429813617
,3.0,5.0,27.0124992248591
20.146214220903314,4.0,11.0,
28.021490489961433,2.0,7.0,
33.11223722268121,3.0,20.0,72.23670835614288
22.557808968340062,5.0,7.0,42.74053289382421
,3.0,14.0,47.63601380282921
20.83392087959589,5.0,18.0,64.4836966115699
27.257971940763607,,19.0,65.3289056633219
23.300314968568482,3.0,7.0,44.39115201547125
21.927048152633144,5.0,11.0,53.308065629831326
19.04787264036246,5.0,13.0,57.32386650682506
24.632328561664686,4.0,11.0,53.05457194661259
24.098153233176046,1.0,14.0,
22.217096048519803,3.0,7.0,39.87217054494793
15.21975799998528,5.0,19.0,56.374037738921
27.412379918118916,1.0,17.0,57.69259767892099
22.620292077474858,1.0,6.0,32.05135182311485
19.50993575552642,4.0,14.0,47.122598829971196
20.59015876225937,4.0,10.0,45.14319172589005
23.532532246225475,2.0,20.0,61.32050876485308
19.262450246763663,5.0,9.0,43.23048888058364
20.81206988910856,1.0,15.0,46.07084961907766
20.956885156011293,1.0,6.0,37.016200464280004
18.17885391380348,5.0,13.0,47.60542756228041
19.66034022441388,1.0,6.0,30.667426763213825
19.78780277602332,5.0,8.0,43.93599592582241
36.09881025136224,5.0,5.0,52.505017873411994
21.93886361056805,4.0,19.0,66.35455353812561
18.344099254005897,3.0,10.0,43.4073124739025
26.19997955188684,5.0,8.0,49.21887983376786
30.715953453333633,,9.0,45.84769118286562
11.445628327510374,5.0,19.0,60.1661571212884
24.832522425210215,1.0,9.0,39.71408947925916
21.756248689430866,1.0,8.0,30.290755802919943
17.83132746918072,5.0,18.0,66.63791502959981
18.9957958721848,3.0,18.0,56.64286086666997
,2.0,19.0,56.81138547828017
30.485812874960956,3.0,15.0,63.69136720338074
18.866535390735798,2.0,18.0,53.984589273347694
29.926758199450923,1.0,20.0,68.13102166280801
19.427942201517755,3.0,17.0,54.83165272009058
19.83227438849479,4.0,16.0,58.016505791786294
20.44623049518373,2.0,17.0,54.46804198695437
20.509820551503235,2.0,18.0,54.117135889643365
20.562503748901435,4.0,7.0,46.80755205740904
22.10424795613485,2.0,16.0,56.28952447618027
25.249374640189156,2.0,17.0,58.44190138464501
15.643502226142784,4.0,16.0,48.161776835241966
10.8455315369176,1.0,9.0,38.69217988922512
18.55723713461493,4.0,11.0,43.89987694249306
16.14722394855044,2.0,15.0,49.89246121269608
17.912991723295328,5.0,6.0,39.87455326846929
18.745947023131937,4.0,20.0,61.80437740636356
17.53266784624376,4.0,16.0,48.867179398317546
21.695438529387523,4.0,9.0,
26.246437407937865,2.0,19.0,63.89411263031011
20.91396384910242,,10.0,46.80337911833955
22.980550597975146,5.0,20.0,69.8735228082356
26.390631036986964,4.0,15.0,60.57636236780283
10.369531847853457,4.0,7.0,32.74920235894625
21.085694072560834,1.0,18.0,53.9304944099456
12.372351386746969,2.0,19.0,49.878357441665926
,1.0,18.0,46.64866039059728
22.101668275899126,3.0,13.0,51.08146467160839
20.611800792180787,3.0,13.0,45.386949996476794
20.549104892064232,4.0,,43.81476080330601
33.32072606498413,,19.0,69.41880583781251
17.78667752290492,1.0,16.0,44.97915302384001
25.46378510404358,,20.0,66.03425535432987
28.862733861153604,2.0,10.0,48.97948079668514
20.68625285616386,5.0,11.0,53.05165203019118
23.221123238995993,5.0,11.0,57.42467906325352
22.626986276912735,5.0,11.0,54.65794049540329
25.01406482963918,2.0,15.0,51.031950263030666
,2.0,15.0,57.60428596761926
25.030117779358804,3.0,6.0,45.85025322055926
22.32491759540846,3.0,6.0,36.04359600317822
6.9452595067330645,4.0,16.0,43.73723789424814
22.24089241766926,3.0,16.0,58.99630894231091
21.677833796930628,3.0,7.0,39.167078486023755
17.99747995777727,5.0,11.0,48.98161241856408
23.847912797594958,5.0,8.0,47.06427916907423
16.138878573746418,5.0,15.0,56.003721713997834
17.577218663305423,1.0,7.0,32.14658958841387
23.31653321769546,2.0,15.0,53.76254491780792
15.102423610045173,5.0,18.0,54.97299228808225
17.296281933621753,1.0,9.0,34.371552159015295
12.753636150316456,4.0,8.0,36.38819801179852
31.458130454064793,2.0,19.0,65.04080709872765
19.118301906025053,2.0,13.0,43.11799474911386
26.8360199979895,1.0,14.0,45.8151079231361
,4.0,,49.58003307084195
33.47508228810755,5.0,16.0,69.6462877991517
25.04290511289296,4.0,6.0,43.6146899455623
16.97779407971759,,19.0,54.384455862698736
24.297916001183044,4.0,17.0,65.36772784812976
28.184603025402733,2.0,,36.28734795753654
20.54054128365452,3.0,20.0,59.819849232914365
22.783153919520704,,6.0,28.342164743463282
23.8274746427077,3.0,13.0,50.66810077751045
27.091289775969354,1.0,16.0,51.41751662099388
29.407131398081965,5.0,19.0,68.01475458749412
18.258996713234932,4.0,17.0,51.58977690760744
23.65499314846365,5.0,13.0,60.61675505680767
26.337000822857647,1.0,12.0,45.2173568882455
17.03910200426291,3.0,19.0,54.46546869704113
28.795340281936248,3.0,8.0,49.34019522652293
25.92373703432691,4.0,8.0,42.23986969411913
26.7023523509927,5.0,10.0,56.03173117897463
14.428990195929515,3.0,20.0,
18.72512750038689,2.0,17.0,51.41070972417407
16.687818367655623,2.0,14.0,42.86322185301726
26.726922442457997,3.0,16.0,61.53061584101761
17.50582937191375,3.0,9.0,39.55174880650987
21.22769422774832,5.0,11.0,53.692825433965076
24.74269910631335,5.0,8.0,57.046299806610854
27.652786052598902,4.0,17.0,63.417270034634754
14.674101073632755,3.0,10.0,38.43567447862358
18.88131724059922,1.0,8.0,141.2824542879681
29.616666380184625,5.0,18.0,72.56785197900282
21.695449851328295,4.0,6.0,42.545596962633375
21.770885497327978,5.0,14.0,57.88767034512023
28.324778458790902,2.0,15.0,55.210096330042596
25.938418901090422,2.0,12.0,51.9822618745148
29.28535460440309,2.0,9.0,42.31453659461258
24.583623549120347,4.0,16.0,59.66923778271284
30.34701529633688,4.0,8.0,50.20545061524711
19.446213003026383,3.0,14.0,49.534824289098204
22.75544343456562,4.0,16.0,61.0971579083452
25.291590633301862,4.0,6.0,42.235464185461154
24.95411234391569,5.0,19.0,69.40520349533442
16.81506199096798,3.0,,53.38715253096811
23.34755875041131,2.0,11.0,45.02125945318466
22.452574430721707,3.0,16.0,64.81085947271072
25.5052485491173,5.0,20.0,
26.514169457802176,5.0,17.0,61.49590177311559
18.38002800036601,1.0,8.0,30.298887592669367
9.386488626533133,5.0,9.0,37.17287396547905
,4.0,15.0,59.03749415604793
28.127132492191166,1.0,15.0,55.5409051004854
22.484591385857797,5.0,13.0,
,,16.0,62.41305852548369
27.677162475323062,1.0,8.0,42.181918424255045
17.15046573332641,3.0,20.0,60.297287358637874
15.513620013044791,3.0,14.0,45.216150436561364
21.4577931521067,4.0,19.0,64.21115142829312
11.759506411434382,2.0,10.0,32.949638058168006
23.8700465351989,5.0,14.0,58.45870679410531
20.64876169475214,1.0,17.0,48.546316872171
13.879299022527546,3.0,14.0,50.259787901433306
30.56230185363183,4.0,8.0,
16.80246997187595,,14.0,46.644361309232856
24.21869463694606,3.0,7.0,41.61390218071641
23.95129351048888,2.0,10.0,45.64902991349777
22.297106729785597,1.0,,35.397803255026815
16.24030603780822,1.0,5.0,27.669467617704544
21.951642035780406,2.0,8.0,41.67031337272827
22.369341989780246,1.0,15.0,50.534325781387274
15.668566672369268,5.0,16.0,55.472800992656985
,3.0,,63.32091685373043
16.094973515505945,3.0,8.0,37.58158349107979
13.898270787657204,1.0,8.0,30.269050590513135
32.8209575056893,3.0,7.0,50.21109285567352
20.509657734500035,1.0,11.0,41.67040579835198
29.370671229991963,3.0,12.0,54.28787573857648
14.58991097817836,2.0,10.0,38.724914783406234
27.218348779705497,1.0,10.0,43.915870497647504
23.64356698938866,5.0,18.0,65.76679454347673
16.837423892733344,3.0,18.0,56.016402265854175
16.360100039259212,2.0,14.0,46.68186478625308
21.25431942472727,5.0,13.0,58.65745700074415
17.997715677034847,1.0,20.0,53.95328415019205
25.37984469587868,3.0,16.0,55.17974815665641
24.921049829351002,3.0,5.0,45.31934242531711
22.666736697704614,5.0,16.0,61.401018348079205
25.954371172301787,4.0,6.0,43.01154551887616
26.669712058482556,1.0,20.0,62.94013577186836
18.922213658404328,1.0,18.0,53.24336935663073
27.180594930949347,1.0,15.0,54.648533493805566
25.816285684498126,,10.0,40.988147703532654
24.59438030994946,1.0,20.0,58.550866767811215
23.131810743736366,5.0,7.0,44.50514685822613
21.228332197798288,2.0,5.0,35.02579099111823
13.621291867412113,5.0,5.0,
20.566451729218898,1.0,8.0,34.07302191535447
,3.0,13.0,55.15476613826043
17.868088982105665,2.0,8.0,31.930413139472652
26.484543870352482,3.0,,56.030415585078494
20.912667888611594,4.0,18.0,61.849049132305645
,1.0,11.0,48.54710982327011
23.401490309317502,2.0,18.0,59.6898874761022
24.265604626234044,2.0,11.0,47.886117404625324
22.301645902196782,3.0,7.0,38.89953055454933
17.39139133703202,2.0,19.0,52.56198782640183
31.026201254876092,2.0,7.0,41.48687919378548
23.798413342560437,3.0,16.0,60.27105097625913
24.612122865319012,5.0,12.0,53.28152041354118
18.035882022383987,1.0,11.0,
18.349295376920413,5.0,5.0,
14.31747526045407,2.0,11.0,
13.804247931014013,2.0,7.0,34.439177231184516
20.490722720608158,1.0,17.0,44.98037437183622
17.671349990774672,2.0,19.0,55.614014422953865
31.19464756302024,,14.0,65.44744336147231
32.08678556038904,3.0,7.0,44.76032458549955
25.69976536375355,1.0,13.0,46.534571540597206
21.17884222274916,5.0,16.0,57.54996761041934
19.67161546235399,,8.0,37.2814961722007
17.22959734272119,1.0,5.0,25.552503663699518
27.2273288798473,1.0,19.0,60.500674724914525
23.497510778744648,3.0,18.0,61.52631438345326
8.954537095330608,4.0,19.0,54.635435042168915
27.556875589719546,3.0,6.0,41.06068644243955
25.715935884979814,2.0,13.0,47.368273482914226
25.351086602753046,2.0,8.0,41.42328359354795
